entry_dir,checkpoint,dataset_type,main_task_type,degrade_type,count,psnr_mean,psnr_std,ssim_mean,ssim_std
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,blur+spot,8,29.466553019061827,7.358447103840734,0.9033112024184522,0.039079085721094996
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,illumination,7,27.54377261326237,5.446051232625419,0.9290026063394973,0.02132030651661708
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,illumination+spot,5,30.21582243353297,8.542051843134422,0.915982904966563,0.02700509751043774
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,spot,6,26.859220012897705,8.085928575288909,0.8990627109746042,0.042954943451676095
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,blur,10,31.354300338442876,5.654129600564358,0.9032545598725757,0.03865341752994927
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,blur+illumination,7,20.59370427395964,3.622014026422274,0.8094121995759799,0.051392411559677754
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,blur+illumination+spot,6,21.364528694383324,1.8300092338373366,0.806546305995696,0.03498501120073569
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,blur+spot,7,27.313370577601177,7.052098181181419,0.9067594153203625,0.02365290385903487
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,illumination,7,22.567210841482726,3.75924526919277,0.8601072319115995,0.041422424961894896
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,illumination+spot,4,19.606370247091853,4.046033106076969,0.8382944701452677,0.05979148054829062
